INFO:root:База данных инициализирована
INFO:root:API сервер запущен на порту 8080
INFO:root:Бот запущен
INFO:aiogram.dispatcher:Start polling
INFO:aiogram.dispatcher:Run polling for bot @four_zero_bot id=8451254918 - '0000'
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:42:47 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:42:48 +0000] "GET /images/product-1.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:42:48 +0000] "GET /images/product-2.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:42:48 +0000] "GET /images/product-5.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:42:48 +0000] "GET /images/product-6.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:42:48 +0000] "GET /images/product-4.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:18:42:49 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:42:52 +0000] "GET /images/product-1.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:42:52 +0000] "GET /images/product-5.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:43:11 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.6312.86 Safari/537.36 BitSightBot/1.0"
